"Time [ms]","L(d - axis) [uH]","L(q - axis) [uH]"
0,328.095718982382,328.053139485301
0.25,325.075989673196,325.432458416972
0.5,336.236883537744,335.885230028915
0.75,326.032004255083,326.03034927428
1,337.097791119997,336.876123150089
1.25,327.891069951226,328.46644432083
1.5,338.988436744312,339.054163251706
1.75,330.322604837568,330.869144824812
2,339.953184614551,341.729123096404
2.25,344.83240038319,344.592335993713
2.5,340.436516834562,340.400333843385
2.75,339.042340984598,338.771097784126
3,339.851077406269,340.17541342514
3.25,339.90320720763,340.02826826066
3.5,339.000612757079,339.601370936747
3.75,340.359106876296,340.853120689311
4,337.885408992233,338.236227322666
4.25,339.95889987232,339.208783969948
4.5,327.359796417556,327.013679920346
4.75,339.016695833081,339.017636400959
5,328.345246403975,328.024595738375
5.25,336.92555270548,337.000075939114
5.5,326.033759068893,326.025350533837
5.75,334.019531012456,334.29336827498
6,325.054989612644,325.435081164772
6.25,328.095675945578,328.053158898081
6.5,325.078430384798,325.431096819386
6.75,336.236875777782,335.885269575596
7,326.031486147824,326.030301765145
7.25,337.097709527558,336.876206254402
7.5,327.892366348327,328.460199235385
7.75000000000001,338.990994499335,339.05134556792
8.00000000000001,330.343315455582,330.849830991227
8.25000000000001,339.957618453224,341.729811357909
8.50000000000001,344.830982486741,344.587135318994
8.75000000000001,340.419105063016,340.397338508355
9.00000000000001,339.042940671819,338.771943868379
9.25000000000001,339.850523638753,340.168353370253
9.50000000000001,340.023594107059,339.907265838202
9.75000000000001,339.025106693931,339.580678565537
10,340.344545234972,340.869462070682
10.25,337.854047171288,338.267986942987
10.5,339.8858158474,339.277697106349
10.75,327.362195464575,327.024210654893
11,339.017412117012,339.017778954218
11.25,328.344988655654,328.024136595436
11.5,336.939001115752,336.986484124132
11.75,326.032978337895,326.027190854815
12,334.013557795265,334.300381441106
12.25,325.050904222702,325.43881025475
12.5,328.095727168079,328.053293853933
12.75,325.081926048232,325.432811694634
13,336.236857487969,335.885190008789
13.25,326.03200348215,326.030320842268
13.5,337.09784202631,336.876057917699
13.75,327.881850869274,328.475559077437
14,338.988857466038,339.055999773843
14.25,330.341251139246,330.846065748901
14.5,339.964462983276,341.721826119736
14.75,344.829012534021,344.592239140561
15,340.426087319735,340.390333935658
