"Time [ms]","FluxLinkage(PhaseA) [Wb]","FluxLinkage(PhaseB) [Wb]","FluxLinkage(PhaseC) [Wb]"
0,-0.0167524493090925,-0.287189577621168,0.343973095133395
0.25,0.138198911048206,-0.355376757326257,0.226809594300727
0.5,0.262097301548731,-0.359325058807703,0.0576611861680345
0.75,0.340970944584571,-0.265906823722871,-0.102350289802838
1,0.370197223155972,-0.0990500756377838,-0.234646759899145
1.25,0.297044516486815,0.0649253530495575,-0.323943033807924
1.5,0.140685977486841,0.205166417260776,-0.367501298560338
1.75,-0.0263701010374311,0.304424661151041,-0.317950829875174
2,-0.173693408838689,0.358931103068919,-0.182223863398797
2.25,-0.282696449524949,0.336049604940375,-0.0133652853122158
2.5,-0.347848071954441,0.223082068184661,0.139727747014687
2.75,-0.351518530979824,0.0539775818088003,0.258192835666831
3,-0.261545149926577,-0.104165042719061,0.33312384499447
3.25,-0.0951806497494129,-0.23207913268511,0.359623812005995
3.5,0.0672999779183574,-0.316654214446809,0.288447484835256
3.75,0.203563758381431,-0.355430913912172,0.136675442917426
4,0.297888013626077,-0.308985728800363,-0.0288491326786978
4.25,0.347589316712599,-0.178099801020749,-0.17240250829948
4.5,0.326975659867286,-0.0106372225440914,-0.27646965957356
4.75,0.218711272106184,0.13938136251139,-0.33639879737908
5,0.0509865427429835,0.252808924160466,-0.341919105408087
5.25,-0.104552104431311,0.323103402346822,-0.254942078371804
5.5,-0.226956206076829,0.345991298235364,-0.0918236117506909
5.75,-0.307516878744458,0.278886468417116,0.0681729495855176
6,-0.34137922613041,0.1329969554024,0.19874006500338
6.25,-0.299246052607293,-0.0304949863238824,0.289595725548321
6.5,-0.173736358895711,-0.168647562369233,0.33346211721872
6.75,-0.00790900432826944,-0.270185064578434,0.317717097521288
7,0.137706380481865,-0.323759171063098,0.213850831712041
7.25,0.248149100091617,-0.332002743027198,0.0474909700205746
7.5,0.312166970549836,-0.247273479817443,-0.10399524440482
7.75000000000001,0.333093949567123,-0.0873705535197448,-0.224689417975701
8.00000000000001,0.268869093063011,0.0692096843026816,-0.298327719180043
8.25000000000001,0.129388133122547,0.197514556759045,-0.329948192698319
8.50000000000001,-0.0379636977740807,0.278746492430874,-0.280282624008709
8.75000000000001,-0.171726123235208,0.329045131022427,-0.175420893034613
9.00000000000001,-0.266855587580259,0.295638660914431,0.00461718154590356
9.25000000000001,-0.328247953404474,0.224971519446552,0.148562023053106
9.50000000000001,-0.337393783424315,0.0251226026364523,0.265881425240575
9.75000000000001,0.00612577206464035,0.0292102684760275,0.170642149488666
10,-0.0820837823599437,-0.266095565626168,0.227129723416389
