"Time [ms]","L(d - axis) [uH]","L(q - axis) [uH]"
0,815.342182062188,815.329432637978
0.25,813.054262269038,812.375059160344
0.5,816.797585053899,816.9677859441
0.75,814.098391295429,814.317561190644
1,818.284131113933,818.407336822349
1.25,815.50565835009,815.977926818551
1.5,819.635145208737,819.726793420503
1.75,817.314758378996,817.176356691157
2,820.998552769499,820.867870357252
2.25,818.749438435295,818.715040565465
2.5,820.202905315802,821.930569597747
2.75,819.38468330662,819.280389056622
3,819.905539795099,820.000855342077
3.25,820.407535656089,819.650429063966
3.5,819.744973911992,819.364431004597
3.75,821.400574761811,820.670540909502
4,818.604843749714,818.873254125362
4.25,820.755848771816,821.457930189713
4.5,817.209691608063,817.246112532721
4.75,819.768993492421,819.58446693653
5,815.558179209821,815.734604478084
5.25,818.225301837296,818.133566537705
5.5,814.463107425423,813.959909213438
5.75,816.828769593293,816.885319176666
6,812.412416091887,813.350077643786
6.25,815.342171084096,815.329429790949
6.5,813.06329102322,812.706830439236
6.75,816.789164590685,816.921062634404
7,814.247654355171,813.87241112291
7.25,818.225533013923,818.453996892603
7.5,815.505596616069,815.584525074342
7.75000000000001,819.631393424871,819.980121934066
8.00000000000001,817.303933947486,817.179847753858
8.25000000000001,820.687074507209,820.400962205627
8.50000000000001,818.556865874542,818.716016753818
8.75000000000001,820.300123067006,821.76807274991
9.00000000000001,819.610534223804,819.93110485052
9.25000000000001,820.22291503617,820.273129092992
9.50000000000001,820.11164878872,819.935731618389
9.75000000000001,819.994466711355,819.075877713955
10,821.369000296263,820.153661351336
