"Time [ms]","L(d - axis) [uH]","L(q - axis) [uH]"
0,468.501836856392,749.273707821179
0.25,714.894036827661,497.50567315966
0.5,889.273003374959,344.709129501148
0.75,827.140779697451,386.79808126046
1,612.14211529984,623.692775152894
1.25,381.545932468081,836.684027740663
1.5,350.977281002538,888.921758188347
1.75,513.332426615711,709.726816220358
2,771.410591443185,472.149881123082
2.25,905.707895605266,345.576897445476
2.5,809.341534348125,433.362497000835
2.75,567.332242499626,672.338809076089
3,369.146592980004,872.737643003564
3.25,369.202033384132,872.594472962347
3.5,567.28869142496,673.169097884621
3.75,809.269162383928,433.810080184782
4,898.761592243303,339.220797681998
4.25,771.417301693251,469.636013758354
4.5,510.368793829063,705.863314234836
4.75,351.00532158257,888.88178130201
5,381.997875941553,836.237174152187
5.25,611.974214868738,623.814876831614
5.5,827.14337570454,386.793166470292
5.75,887.059363323911,343.11753902901
6,714.872640284549,497.510544753994
6.25,468.499790105099,749.273816250217
6.5,327.292680249475,885.107645420938
6.75,420.608877550482,813.369199088415
7,648.010233358495,565.929144223497
7.25,864.205911661232,371.622885946175
7.5,865.488763464752,352.746742756809
7.75000000000001,684.071220882971,555.829822341212
8.00000000000001,432.204336314408,790.860693576954
8.25000000000001,340.202993241847,903.385252925786
8.50000000000001,465.431963562675,785.854141675649
8.75000000000001,708.160507163747,534.490176536026
9.00000000000001,885.279415196637,354.397800601641
9.25000000000001,854.764971407308,387.106048811328
9.50000000000001,638.586388976929,603.205810623613
9.75000000000001,407.292447078654,833.171622193997
10,346.483379582046,896.608769620135
10.25,499.168644778018,738.808906437129
10.5,750.971587862882,490.021377618317
10.75,885.297896125627,330.958124844476
11,824.730786442322,415.156244364754
11.25,579.918674482381,638.320702556206
11.5,377.569470736847,858.217417183842
11.75,345.7605282044,868.176450221795
12,539.398303486859,690.782874182835
12.25,775.858372930641,436.524533531944
12.5,889.717339174151,328.05213577076
12.75,775.888595447663,436.517621808188
13,541.623215768576,692.359855339226
13.25,345.759652245075,868.181192491366
13.5,377.728780503793,858.097376743713
13.75,579.460677000792,638.784686830342
14,824.70838966119,415.195131981407
14.25,888.288801341872,334.779035640175
14.5,751.037986570886,492.521483440011
14.75,506.137718786709,745.141862175879
15,346.562918715634,896.067679356177
