"Distance [mm]","B_normal []"
0,-0.542883004990667
0.58449,-0.904029435072884
1.16898,-1.01797291464109
1.75347,-1.05679293162999
2.33796,-1.07045704276435
2.92245,-1.07345086131587
3.50694,-1.06305667564415
4.09143,-1.0523249259894
4.67592,-1.04230281296501
5.26041,-1.02771594931157
5.8449,-1.0149137029545
6.42939,-1.01952708726806
7.01388,-1.02626295032681
7.59837,-1.03034695586882
8.18286,-1.03630330812858
8.76735,-1.03278979701457
9.35184,-1.05151735174694
9.93633,-1.1927031589061
10.52082,-1.0409978324906
11.10531,-1.03975416069634
11.6898,-1.03966808764334
12.27429,-1.04360592139645
12.85878,-1.04990219690306
13.44327,-1.05522942855588
14.02776,-1.0500074636715
14.61225,-1.04661846527316
15.19674,-1.04555903345404
15.78123,-1.04582144262584
16.36572,-1.03714421939327
16.95021,-1.0249367364706
17.5347,-1.01381460430315
18.11919,-1.00162772928678
18.70368,-0.983227605367961
19.28817,-0.949593534077928
19.87266,-0.950669239699172
20.45715,-0.976380381764909
21.04164,-0.997118569166843
21.62613,-1.00488039927185
22.21062,-1.00695732135298
22.79511,-1.01046568549979
23.3796,-1.01645386683164
23.96409,-1.01879256964589
24.54858,-1.0117379134141
25.13307,-1.00532288254862
25.71756,-1.00179060437449
26.30205,-0.998429047430877
26.88654,-0.989070190836395
27.47103,-0.975268922973803
28.05552,-0.964816386069636
28.64001,-0.963485106867182
29.2245,-1.81167927902601E-06
29.80899,-0.96046414147774
30.39348,-0.951936336169643
30.97797,-0.957171239613262
31.56246,-0.964278773732133
32.14695,-0.965449091947366
32.73144,-0.962143359588144
33.31593,-0.960712073308
33.90042,-0.961754169860131
34.48491,-0.961613577480944
35.0694,-0.950937385087583
35.65389,-0.941062772541079
36.23838,-0.93423665528902
36.82287,-0.924427300419833
37.40736,-0.911880605942483
37.99185,-0.887924507006699
38.57634,-0.863634005146598
39.16083,-0.847051425167263
39.74532,-0.871006021880089
40.32981,-0.880131029036606
40.9143,-0.887157672066099
41.49879,-0.893319436445429
42.08328,-0.898520199367119
42.66777,-0.898452761747601
43.25226,-0.891351381836009
43.83675,-0.887643267649554
44.42124,-0.885530988293494
45.00573,-0.882625311990639
45.59022,-0.869956301827471
46.17471,-0.858071898990109
46.7592,-0.849263056296848
47.34369,-0.840955515177066
47.92818,-0.830056707395625
48.51267,-0.842569501059806
49.09716,-0.851479450073694
49.68165,-0.810111084047714
50.26614,-0.810619094861743
50.85063,-0.804584087105017
51.43512,-0.796845775066232
52.01961,-0.790668233828065
52.6041,-0.78227898534314
53.18859,-0.7668334697721
53.77308,-0.737890115560536
54.35757,-0.70606238245729
54.94206,-0.668877186438719
55.52655,-0.614378485668853
56.11104,-0.532064103117876
56.69553,-0.42037988610117
57.28002,-0.26008013552335
57.86451,-0.00678619678157028
58.449,0.41942135190134
