"Time [ms]","Moving1.Torque [NewtonMeter]"
0,184.646902762475
0.25,142.001749802243
0.5,21.1926236561568
0.75,-10.6201534978261
1,112.163545766265
1.25,49.5080922964252
1.5,87.5824525099937
1.75,-21.6531907826541
2,-107.583365904805
2.25,-147.591493093297
2.5,-243.343976931703
2.75,-212.952336639813
3,-268.705642752371
3.25,-167.301621982448
3.5,-165.977969138216
3.75,-16.1598845324526
4,-7.47621336600986
4.25,11.0305178139574
4.5,-67.9848682773024
4.75,-15.4899134751364
5,-23.4955464294351
5.25,75.152191433532
5.5,120.428241704058
5.75,205.824430072564
6,184.954232975222
6.25,288.112412487418
6.5,272.913120313988
6.75,191.967821659237
7,147.187342706555
7.25,17.210600323855
7.5,-9.47978471516676
7.75000000000001,76.1691148630576
8.00000000000001,23.3583620581624
8.25000000000001,-9.9942764979769
8.50000000000001,-45.7939291646619
8.75000000000001,-169.405055870356
9.00000000000001,-193.562240404723
9.25000000000001,-276.277564049446
9.50000000000001,-242.491805762844
9.75000000000001,-282.741693114421
10,-177.982149657281
10.25,-169.141253575296
10.5,-83.5553360837104
10.75,6.08180850106996
11,0.865580197741275
11.25,-48.822491555262
11.5,-7.65109866248589
11.75,18.1236307801446
12,103.090106269544
12.25,187.3832705177
12.5,285.55182409678
12.75,307.691405162013
13,296.720323298715
13.25,278.507096703092
13.5,184.335933655571
13.75,132.487558051858
14,11.4895424984639
14.25,-14.0765166748792
14.5,17.1067365354748
14.75,17.5157665038459
15,-54.7492218233632
